ID,predict_prob
8800,0.5
8801,0.01
8802,0.52
8803,0.0
8804,0.54
8805,0.34
8806,0.6
8807,0.01
8808,0.29
8809,0.82
8810,0.58
8811,0.0
8812,0.09
8813,0.76
8814,0.33
8815,0.53
8816,0.02
8817,0.0
8818,0.5
8819,0.59
8820,0.0
8821,0.0
8822,0.0
8823,0.0
8824,0.67
8825,0.5
8826,0.43
8827,0.01
8828,0.74
8829,0.61
8830,0.67
8831,0.0
8832,0.69
8833,0.6
8834,0.54
8835,0.56
8836,0.0
8837,0.62
8838,0.47
8839,0.72
8840,0.0
8841,0.61
8842,0.0
8843,0.01
8844,0.55
8845,0.08
8846,0.7
8847,0.0
8848,0.42
8849,0.62
8850,0.0
8851,0.22
8852,0.05
8853,0.02
8854,0.02
8855,0.76
8856,0.45
8857,0.64
8858,0.47
8859,0.56
8860,0.55
8861,0.0
8862,0.47
8863,0.6
8864,0.78
8865,0.6
8866,0.62
8867,0.48
8868,0.63
8869,0.56
8870,0.47
8871,0.07
8872,0.5
8873,0.49
8874,0.54
8875,0.59
8876,0.46
8877,0.6
8878,0.5
8879,0.01
8880,0.69
8881,0.5
8882,0.53
8883,0.49
8884,0.36
8885,0.5
8886,0.27
8887,0.15
8888,0.01
8889,0.0
8890,0.58
8891,0.56
8892,0.41
8893,0.01
8894,0.49
8895,0.56
8896,0.75
8897,0.39
8898,0.49
8899,0.54
8900,0.6
8901,0.53
8902,0.22
8903,0.74
8904,0.63
8905,0.55
8906,0.52
8907,0.0
8908,0.32
8909,0.02
8910,0.61
8911,0.7
8912,0.07
8913,0.0
8914,0.01
8915,0.0
8916,0.58
8917,0.57
8918,0.38
8919,0.53
8920,0.0
8921,0.55
8922,0.63
8923,0.57
8924,0.0
8925,0.0
8926,0.0
8927,0.53
8928,0.0
8929,0.37
8930,0.3
8931,0.51
8932,0.71
8933,0.61
8934,0.63
8935,0.61
8936,0.49
8937,0.58
8938,0.2
8939,0.58
8940,0.01
8941,0.48
8942,0.59
8943,0.55
8944,0.43
8945,0.55
8946,0.61
8947,0.67
8948,0.0
8949,0.61
8950,0.78
8951,0.0
8952,0.65
8953,0.52
8954,0.76
8955,0.0
8956,0.06
8957,0.0
8958,0.0
8959,0.48
8960,0.85
8961,0.55
8962,0.7
8963,0.56
8964,0.6
8965,0.77
8966,0.0
8967,0.44
8968,0.44
8969,0.41
8970,0.66
8971,0.53
8972,0.0
8973,0.57
8974,0.56
8975,0.0
8976,0.65
8977,0.59
8978,0.66
8979,0.0
8980,0.58
8981,0.02
8982,0.1
8983,0.67
8984,0.56
8985,0.44
8986,0.48
8987,0.62
8988,0.2
8989,0.7
8990,0.5
8991,0.46
8992,0.01
8993,0.69
8994,0.7
8995,0.44
8996,0.46
8997,0.18
8998,0.43
8999,0.0
9000,0.42
9001,0.43
9002,0.53
9003,0.58
9004,0.5
9005,0.35
9006,0.52
