ID,Reached.on.Time_Y.N
8800,0
8801,1
8802,1
8803,1
8804,1
8805,0
8806,0
8807,1
8808,1
8809,0
8810,0
8811,1
8812,1
8813,0
8814,1
8815,1
8816,1
8817,1
8818,0
8819,0
8820,1
8821,1
8822,1
8823,1
8824,0
8825,0
8826,1
8827,1
8828,0
8829,0
8830,0
8831,1
8832,0
8833,0
8834,0
8835,0
8836,1
8837,0
8838,0
8839,0
8840,1
8841,1
8842,1
8843,1
8844,0
8845,1
8846,0
8847,1
8848,1
8849,1
8850,1
8851,1
8852,1
8853,1
8854,1
8855,0
8856,0
8857,0
8858,0
8859,0
8860,1
8861,1
8862,0
8863,0
8864,0
8865,0
8866,0
8867,0
8868,0
8869,0
8870,0
8871,1
8872,0
8873,0
8874,0
8875,0
8876,1
8877,0
8878,0
8879,1
8880,0
8881,1
8882,0
8883,1
8884,1
8885,0
8886,0
8887,1
8888,1
8889,1
8890,0
8891,1
8892,1
8893,1
8894,0
8895,0
8896,0
8897,1
8898,0
8899,0
8900,0
8901,0
8902,1
8903,0
8904,0
8905,0
8906,1
8907,1
8908,1
8909,1
8910,0
8911,0
8912,1
8913,1
8914,1
8915,1
8916,0
8917,0
8918,1
8919,0
8920,1
8921,0
8922,0
8923,0
8924,1
8925,1
8926,1
8927,0
8928,1
8929,0
8930,1
8931,0
8932,0
8933,0
8934,0
8935,0
8936,0
8937,0
8938,1
8939,0
8940,1
8941,0
8942,0
8943,0
8944,1
8945,0
8946,0
8947,0
8948,1
8949,0
8950,0
8951,1
8952,0
8953,1
8954,0
8955,1
8956,1
8957,1
8958,1
8959,0
8960,0
8961,0
8962,0
8963,1
8964,0
8965,0
8966,1
8967,0
8968,0
8969,1
8970,0
8971,0
8972,1
8973,1
8974,0
8975,1
8976,0
8977,0
8978,0
8979,1
8980,0
8981,1
8982,1
8983,0
8984,0
8985,0
8986,0
8987,0
8988,1
8989,0
8990,0
8991,1
8992,1
8993,0
8994,0
8995,0
8996,1
8997,1
8998,1
8999,1
9000,0
9001,1
9002,0
9003,0
9004,0
9005,1
9006,0
9007,0
9008,1
9009,1
9010,0
9011,0
9012,1
9013,0
9014,1
9015,1
9016,0
9017,1
9018,1
9019,0
9020,1
9021,1
9022,1
9023,0
9024,0
9025,1
9026,1
9027,1
9028,0
9029,0
9030,0
9031,1
9032,1
9033,0
9034,1
9035,1
9036,0
9037,0
9038,0
9039,1
9040,1
9041,0
9042,1
9043,0
9044,0
9045,1
9046,0
9047,0
9048,1
9049,1
9050,1
9051,1
9052,0
9053,1
9054,1
9055,1
9056,0
9057,1
9058,1
9059,1
9060,1
9061,0
9062,0
9063,0
9064,0
9065,1
9066,0
9067,0
9068,1
9069,1
9070,0
9071,0
9072,0
9073,0
9074,0
9075,1
9076,0
9077,1
9078,0
9079,1
9080,1
9081,0
9082,0
9083,1
9084,1
9085,1
9086,1
9087,0
9088,0
9089,0
9090,0
9091,0
9092,1
9093,0
9094,0
9095,1
9096,1
9097,0
9098,1
9099,1
9100,0
9101,1
9102,0
9103,1
9104,1
9105,0
9106,1
9107,1
9108,0
9109,1
9110,0
9111,0
9112,1
9113,1
9114,0
9115,0
9116,1
9117,1
9118,1
9119,1
9120,0
9121,1
9122,0
9123,0
9124,0
9125,1
9126,1
9127,0
9128,1
9129,0
9130,1
9131,0
9132,0
9133,0
9134,1
9135,0
9136,1
9137,1
9138,0
9139,0
9140,0
9141,0
9142,0
9143,1
9144,0
9145,0
9146,0
9147,0
9148,1
9149,1
9150,1
9151,1
9152,0
9153,1
9154,0
9155,0
9156,0
9157,0
9158,0
9159,0
9160,0
9161,0
9162,1
9163,1
9164,1
9165,0
9166,0
9167,1
9168,1
9169,0
9170,0
9171,0
9172,0
9173,0
9174,0
9175,1
9176,0
9177,0
9178,1
9179,0
9180,0
9181,1
9182,1
9183,0
9184,1
9185,0
9186,0
9187,1
9188,0
9189,0
9190,0
9191,1
9192,0
9193,1
9194,0
9195,1
9196,1
9197,0
9198,0
9199,0
9200,0
9201,1
9202,1
9203,0
9204,1
9205,0
9206,1
9207,1
9208,1
9209,0
9210,1
9211,0
9212,0
9213,0
9214,1
9215,0
9216,0
9217,0
9218,1
9219,1
9220,1
9221,1
9222,0
9223,0
9224,1
9225,1
9226,1
9227,0
9228,0
9229,1
9230,1
9231,0
9232,0
9233,1
9234,1
9235,1
9236,0
9237,0
9238,0
9239,1
9240,1
9241,1
9242,0
9243,1
9244,1
9245,1
9246,1
9247,0
9248,0
9249,0
9250,1
9251,0
9252,0
9253,1
9254,0
9255,1
9256,0
9257,1
9258,1
9259,0
9260,0
9261,0
9262,0
9263,0
9264,0
9265,0
9266,1
9267,0
9268,0
9269,1
9270,0
9271,0
9272,0
9273,0
9274,1
9275,0
9276,0
9277,0
9278,1
9279,1
9280,0
9281,0
9282,0
9283,0
9284,0
9285,1
9286,0
9287,0
9288,1
9289,1
9290,0
9291,0
9292,0
9293,0
9294,0
9295,0
9296,0
9297,0
9298,1
9299,1
9300,0
9301,1
9302,1
9303,0
9304,1
9305,0
9306,0
9307,0
9308,1
9309,0
9310,0
9311,0
9312,1
9313,0
9314,1
9315,1
9316,1
9317,0
9318,0
9319,1
9320,1
9321,1
9322,1
9323,1
9324,1
9325,0
9326,0
9327,0
9328,0
9329,1
9330,0
9331,0
9332,0
9333,0
9334,0
9335,0
9336,1
9337,1
9338,1
9339,0
9340,1
9341,0
9342,1
9343,0
9344,1
9345,1
9346,0
9347,0
9348,0
9349,1
9350,1
9351,0
9352,0
9353,0
9354,1
9355,1
9356,0
9357,1
9358,0
9359,1
9360,0
9361,1
9362,0
9363,0
9364,1
9365,0
9366,1
9367,0
9368,0
9369,1
9370,0
9371,1
9372,0
9373,0
9374,0
9375,1
9376,1
9377,0
9378,0
9379,0
9380,0
9381,0
9382,1
9383,1
9384,1
9385,1
9386,1
9387,1
9388,0
9389,0
9390,1
9391,0
9392,0
9393,0
9394,0
9395,1
9396,0
9397,0
9398,0
9399,1
9400,0
9401,0
9402,1
9403,1
9404,1
9405,1
9406,1
9407,1
9408,1
9409,1
9410,0
9411,1
9412,0
9413,1
9414,1
9415,0
9416,0
9417,0
9418,1
9419,0
9420,1
9421,1
9422,0
9423,1
9424,0
9425,1
9426,0
9427,0
9428,1
9429,1
9430,1
9431,0
9432,0
9433,0
9434,1
9435,0
9436,0
9437,1
9438,1
9439,0
9440,0
9441,0
9442,0
9443,1
9444,0
9445,0
9446,0
9447,0
9448,0
9449,0
9450,1
9451,1
9452,1
9453,0
9454,0
9455,0
9456,0
9457,0
9458,0
9459,1
9460,0
9461,1
9462,0
9463,0
9464,1
9465,0
9466,1
9467,1
9468,1
9469,0
9470,1
9471,0
9472,1
9473,1
9474,0
9475,0
9476,0
9477,1
9478,0
9479,0
9480,1
9481,1
9482,1
9483,1
9484,0
9485,1
9486,1
9487,1
9488,0
9489,0
9490,1
9491,0
9492,0
9493,1
9494,0
9495,1
9496,0
9497,1
9498,0
9499,0
9500,0
9501,0
9502,0
9503,0
9504,0
9505,1
9506,1
