ID,predict
53608,0.79
51055,0.75
52573,0.02
50458,0.14
52272,0.29
52072,0.78
50973,0.32
50553,0.05
53135,0.12
53835,0.16
51843,0.05
54145,0.41
53878,0.28
54216,0.18
51728,0.37
52863,0.22
50760,0.46
50823,0.37
53928,0.76
52683,0.69
50200,0.3
52984,0.05
50747,0.25
54128,0.17
52001,0.82
50276,0.33
52651,0.64
53535,0.11
52387,0.37
52884,0.97
53205,0.28
52873,0.44
52376,0.45
51950,0.46
51650,0.86
53901,0.19
51919,0.19
50065,0.0
52885,0.28
51413,0.2
52768,0.36
51375,0.18
54157,0.27
53328,0.15
53362,0.03
52202,0.05
50640,0.15
52298,0.4
53477,0.12
50078,0.3
51998,0.15
52336,0.23
52654,0.15
53341,0.17
53868,0.83
52945,0.13
52411,0.11
52222,0.14
51813,0.08
50175,0.35
51744,0.21
53521,0.88
51261,0.06
51619,0.02
51479,0.16
52020,0.14
53306,0.15
53013,0.66
50117,0.24
51992,0.47
54233,0.94
51709,0.67
50930,0.19
50637,0.24
52333,0.38
51627,0.08
53524,0.2
50167,0.06
50330,0.53
53678,0.08
53581,0.77
50243,0.32
50237,0.09
53032,0.68
50235,0.1
50012,0.12
53264,0.55
50729,0.11
53195,0.18
50069,0.65
52091,0.39
50697,0.15
51477,0.06
52262,0.51
53822,0.13
53533,0.81
52983,0.54
50777,0.17
53630,0.15
52743,0.23
52584,0.5
51428,0.27
54194,0.1
52849,0.71
52839,0.74
52867,0.05
53043,0.57
52266,0.21
52478,0.54
51336,0.93
52840,0.34
51997,0.1
53976,0.31
50670,0.16
50370,0.12
50921,0.07
50983,0.26
51456,0.39
53104,0.68
50594,0.35
52201,0.2
52992,0.01
50240,0.08
50014,0.04
52583,0.22
52625,0.26
51357,0.21
50080,0.17
50521,0.06
51886,0.29
52367,0.06
52917,0.05
53378,0.19
50779,0.08
52352,0.32
50021,0.47
50726,0.17
52679,0.0
50389,0.19
50905,0.04
50409,0.44
52473,0.19
52089,0.09
50522,0.12
50603,0.66
53796,0.02
53167,0.1
53351,0.13
53680,0.84
53273,0.75
52913,0.2
50098,0.17
53479,0.19
50804,0.35
50074,0.75
53635,0.0
50189,0.81
53138,0.38
53786,0.47
50268,0.09
53688,0.45
51962,0.21
53639,0.23
53792,0.23
52631,0.47
50129,0.11
52712,0.11
50432,0.52
53221,0.24
53474,0.44
54232,0.41
50151,0.24
52516,0.74
53019,0.0
52510,0.63
50252,0.01
53354,0.47
50448,0.89
52796,0.12
50641,0.25
52189,0.14
53588,0.76
53324,0.33
51809,0.14
50258,0.9
54271,0.18
52785,0.24
50026,0.44
51529,0.1
51636,0.46
52050,0.36
52419,0.2
53228,0.74
52425,0.1
53470,0.29
52139,0.14
50471,0.29
52374,0.79
50136,0.23
51736,0.4
52638,0.07
51458,0.08
51027,0.23
51870,0.73
50960,0.72
52212,0.04
53337,0.24
51421,0.26
51740,0.02
52988,0.37
51551,0.11
51574,0.47
52285,0.15
51984,0.89
52735,0.81
52037,0.08
51522,0.88
52383,0.34
53724,0.51
52435,0.08
51506,0.2
53863,0.74
53212,0.31
50955,0.52
51646,0.13
50769,0.21
50675,0.42
54180,0.27
50174,0.68
52475,0.14
52472,0.26
52312,0.03
51007,0.09
52287,0.34
52334,0.14
50354,0.14
52462,0.05
